Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
85,3,2,1,0,0,"""@blackman38tide: @whalelookyhere @howdydowdy11 queer"" gaywad"
87,3,0,3,0,1,"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol"
88,3,0,3,0,1,"""@brosconfessions: this bitch was so ungrateful http://t.co/06e77bgwbx"" fr ..... lulwhore"
89,3,0,3,0,1,"""@cashandboobies: i been kidnapped yo bitch"""
90,3,3,0,0,0,"""@cb_baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
91,3,1,2,0,1,"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo"
92,6,1,5,0,1,"""@chlldhoodruiner: when ur teacher tells u that u have homework https://t.co/rkk5vawij1"" this bitch need to go!!!"
93,3,1,2,0,1,"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. http://t.co/osipbkpr9h"
94,3,0,3,0,1,"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95,3,1,2,0,1,"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig"
96,3,0,3,0,1,"""@causewereguys: going back to school sucks more dick than the hoes who attend it."""
97,3,0,3,0,1,"""@causewereguys: on my way to fuck yo bitch http://t.co/j906t5ze2r"" me as a 9 year old"
98,3,0,3,0,1,"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
99,3,0,3,0,1,"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople"
100,3,1,2,0,1,"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy"
101,3,0,3,0,1,"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care http://t.co/aanpsujmyi"" &lt;bitch want likes for some depressing shit..foh"
102,3,0,3,0,1,"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz"
103,3,0,3,0,1,"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again"
104,3,0,2,1,1,"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds."""
105,3,0,3,0,1,"""@comedytruth: amen miley &#128591; http://t.co/p2kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106,3,0,3,0,1,"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107,3,0,3,0,1,"""@crhedrys: pussy licking pussy.... meow meow #stopwhitepeople2014 &#128049; https://t.co/keegdcjs5k&#8221;""""""""

&#128533;"
108,3,0,3,0,1,"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands"
109,3,0,3,0,1,"""@dgotbricks: what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
110,3,0,3,0,1,"""@daedavidavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111,3,3,0,0,0,"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway http://t.co/xuccwoetmn"
112,3,0,3,0,1,"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows"
113,3,0,3,0,1,"""@dietrich1892: yall shut up:p"" make me bitch"
114,3,1,2,0,1,"""@dionairish: i hate a ""i'm pregnant"" type of bitch."""
115,3,0,3,0,1,"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3"
116,3,0,0,3,2,"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started"
117,3,0,3,0,1,"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu.."""
118,3,0,3,0,1,"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol"
119,3,0,0,3,2,"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms."""
120,3,0,1,2,2,"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day."
121,3,0,0,3,2,"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures http://t.co/q0sm89oolh&#8221;

they *are* fairy tale creatures."
122,3,0,3,0,1,"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol"
123,3,0,0,3,2,"""@flokid88: as long as the lakers trash from now on, i could careless. and that's real."". cc: @benballer hahaha"
124,3,0,3,0,1,"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot"
125,3,0,0,3,2,"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/zuai7qwbir"" &#128514; yup"
126,3,0,3,0,1,"""@g27status: i could go for a fat ass bitch on my lap"" same"
127,3,0,3,0,1,"""@gedmelle: 17 missed calls!!!! &#128544;&#128545;""das yo p.o bitch twitter finna be screamn #freemoneymelle"
128,6,0,6,0,1,"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
129,3,0,3,0,1,"""@gagatom1: &#8220;@malefoot: 3 | amo los pies http://t.co/4qe1hdkk8i&#8221;"" fuck yeah"
130,3,0,3,0,1,"""@girlthatsvonte: these hoes be thinking meat won't slap they ass &#128564;&#128075;"" ainna bruh"
131,3,0,3,0,1,"""@girlthatsvonte: yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
132,3,0,3,0,1,"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133,3,0,3,0,1,"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134,6,0,6,0,1,"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao"
135,3,0,3,0,1,"""@goofstroop: you a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136,3,0,3,0,1,"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!"
137,3,0,3,0,1,"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up"""
138,6,0,6,0,1,"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses&#128514;&#128514;"""
139,3,1,2,0,1,"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao"
141,3,1,2,0,1,"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
142,3,0,1,2,2,"""@hermosaalma: this isn't ghetto.....it's smart https://t.co/mpazq3jswf"" i'm doing this idc"
143,3,0,2,1,1,"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
144,3,0,3,0,1,"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu"
145,3,1,2,0,1,"""@hoskinsty96: white boy power bitch"" black power bitch"
146,3,0,3,0,1,"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill."
147,3,0,3,0,1,"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?"
148,3,0,3,0,1,"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
149,3,0,2,1,1,"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot."""
150,3,0,3,0,1,"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9ukd8wtz6x"" lmao damn captain saveahoe"
151,3,0,1,2,2,"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/feqxgn0w6i"" hot sox and legs"
152,3,0,3,0,1,"""@jamesynba: i wish i was a bitch like my brother keezy &#128530;"" ooooow i bet you do"
153,6,0,6,0,1,"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy"
154,4,0,4,0,1,"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie&lt;3"
155,3,0,3,0,1,"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she&#8217;ll like it."". says the guy who hits women out of bed. foh"
156,3,0,3,0,1,"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
157,6,0,6,0,1,"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
158,3,0,3,0,1,"""@kelsiebelsi: you're not a man if you refer to every girl as a bitch"""
159,3,0,3,0,1,"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!"
160,3,0,1,2,2,"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?"
161,3,0,2,1,1,"""@kingcuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
162,3,0,3,0,1,"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!"
163,3,0,3,0,1,"""@kingteej_: ol dirty foot ass bitches.."" this was too funny to me."
164,3,0,3,0,1,"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing &#128079;&#128524;"" hell yeah niggy"
165,3,0,3,0,1,"""@kissmysmilee: don't got time for bitches to be actin iffy."""
166,3,0,0,3,2,"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut"
167,3,0,2,1,1,"""@kyranadiya_: these hoes ain't loyal ; no they ain't http://t.co/h1ubsvbkgl""

smfh &amp; wonder why nobody decent wants them"
168,3,0,3,0,1,"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!"
169,3,0,3,0,1,"""@lodycash: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
170,3,0,3,0,1,"""@lunaraps: shut yo bitch ass up! https://t.co/iemn1u0gm5"" &#128557;&#128514;"
171,3,0,3,0,1,"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back"""
172,3,0,3,0,1,"""@latrobemark: you love these hoes more then money wats wrong these niggas"""
173,6,0,6,0,1,"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol"
174,3,0,3,0,1,"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !"
175,3,0,3,0,1,"""@lifeasbros: charlie sheen is too real http://t.co/gggdk3kov7"" major fucking respect for charlie sheen."
176,3,0,3,0,1,"""@lightskingawdd: wish i had a bae &#128533;""

you got all the hoes tho"
177,3,0,3,0,1,"""@lil_mike_12: fuck twerking bitch can you cook ?"""
178,3,0,3,0,1,"""@linniekravitz: @wesgodlaflare bitch wtf"" http://t.co/dasmycxodb"
179,3,1,2,0,1,"""@lipe_the_great: &#8220;@h0rheyd: ""@lipe_the_great: shut up zoe"" fight me pussy&#8221; for zoe? i'm good, man."" you are good ma'am. move along now"
180,3,0,3,0,1,"""@lolaaisdope: lmao fucking snake bitches"" @ em"
181,3,0,3,0,1,"""@loveable_aizah: big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
182,3,0,0,3,2,"""@mlbnetwork: stay tuned to @mlbnetwork for an update on the report that @yankees 1b @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
183,3,0,0,3,2,"""@m_rad: &#8220;@dezdlt: ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tycihd6pkw&#8221; yes lmfao""@soccerboy_04"
184,3,0,3,0,1,"""@madflyentist: oregon chokes every year get off the field trash ass program"" rft"
185,3,0,3,0,1,"""@mannydiesel: def not cowboy lol rt @artoffloyd: terrell owens was the best eagle &amp; cowboy ever"" ..dude cried like a bitch on tv, over romo"
186,3,3,0,0,0,"""@markroundtreejr: lmfaoooo i hate black people https://t.co/rnvd2nlcdr"" this is why there's black people and niggers"
187,3,0,3,0,1,"""@master11_: @20tolife_ @gabrielastarr how could u do this to me bitch"" potent"
188,3,0,1,2,2,"""@maxmayo77: http://t.co/3jk4kr44x3"" a pissed lad past out. i would lick his dirty soles while he slept."
189,3,0,1,2,2,"""@maxmayo77: http://t.co/prrskknqrv"" love frat boy w/ soft long soles"
190,3,0,1,2,2,"""@maxmayo77: http://t.co/xpsc3makgj"" sexy lad with hot soles and arches."
191,3,0,3,0,1,"""@megamindnick: @white_thunduh nah fam i gotta cheat with the hoes"" depends on the female i feel"
192,3,0,0,3,2,"""@mesha_nojas: @_vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" i got hicks lol"
193,3,1,2,0,1,"""@migsmichelen: this new twitter is confusing the shit out of me."" go back to south america bitch"
194,3,0,3,0,1,"""@miikito_x3: toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy"
195,3,0,3,0,1,"""@mikelahenry: but what if he actually does choose the ugly bitch over you? &#58381;""her ass must be fat!"
196,3,0,3,0,1,"""@mileycyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
197,3,0,3,0,1,"""@montrell_: i'm tired of bitches saying i look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
198,6,0,0,6,2,"""@motherjones: 10 birds your grandkids may never see, thanks to climate change http://t.co/xqmxhkaswt http://t.co/rbitegrnhm"" #climate"
199,3,0,3,0,1,"""@mvckfadden: ""stay beautiful you bitch"""""
200,3,0,3,0,1,"""@nickiminaj: #wutkinda

r purple. ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls"
201,3,0,3,0,1,"""@nastycopper: money getting taller and bitches getting blurry"""
202,3,1,2,0,1,"""@newsomejade: i ain't never seen a bitch so obsessed with they nigga&#128514;"" i'm obsessed with mine &#128529;"
203,3,0,2,1,1,"""@nicholas_ted33: kobe stay talking trash. but let's not forget http://t.co/vh4tnekvtp"" @j_austin12 i meant to do this one. smh."
204,3,2,1,0,0,"""@nochillpaz: ""at least i'm not a nigger"" http://t.co/rgja7cfoit""

lmfao"
205,3,0,3,0,1,"""@no_fakingg: people always asking me what i'm mixed with."" she a bad asian bitch lol"
206,3,2,1,0,0,"""@notoriousbm95: @_whiteponyjr_ ariza is a snake and a coward"" but at least he isn't a cripple like your hero roach lmaoo"
207,3,0,1,2,2,"""@osay_it_aint_so: &#8220;@ignorealllaws: fosters home for imaginary trash&#8221; whoa chill""

that show was everything tf"
208,6,0,5,1,1,"""@officialreplay: i am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
209,3,0,3,0,1,"""@prayingforhead: &#8220;@macklemroe: stop bringing weird niggers into my mentions! @prayingforhead&#8221; http://t.co/cussdjesrk"""
210,3,0,3,0,1,"""@prettyboss_brat: we don't love these hoes &#128080;&#128581;"""
211,3,0,3,0,1,"""@patrickquelo: if yo girl cant have homeboys you a ol weak bitch ass nigga!"""
212,3,0,3,0,1,"""@patsfanjoe32: @d_palomino52 i think worst advice i gave you was "" don't be a pussy and speed up"" lol"""
213,3,0,3,0,1,"""@poemsporn: quote this tweet with your favorite animal.""pussy"
214,3,0,3,0,1,"""@poetic_success: i hate when strippers tell you they're ""dancers"". hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!"""
215,3,0,3,0,1,"""@poffalicious: andrewbryant: poff has double vision after 2 beers
poff: ... double pussy &#128526;"" smh"
216,3,0,3,0,1,"""@poobie_: when bitches twerk on the computer....

me: ""in ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
217,3,0,3,0,1,"""@prodsjewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @peacepunkprince prince, this is art. http://t.co/ephrwxmbhr&#8221; nobody takin his bitch!"
218,3,0,1,2,2,"""@quan1t0: 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now."""
219,3,0,3,0,1,"""@quan1t0: these bitches don't care they just play that role."""
220,6,0,6,0,1,"""@queen_kaaat: it took a while for you to find me, but i was hiding in the lime tree.""
@iemonaids dis bitch in da wrong tree bro."
221,6,3,2,1,0,"""@rtnba: drakes new shoes that will be released by nike/jordan.... yes, there's glitter on the shoes http://t.co/qctplxhexm"" ....dudes a fag"
222,3,0,1,2,2,"""@rachiesoul: @dizzleofficial inna di ghetto!!!"" you alone lmaoo"
223,3,0,1,2,2,"""@ramboutit: &#8220;@master11_: @20tolife_ @ramboutit hoes austin&#8221; teach us austin.""i teach u how to get curved? that's all i know"
224,3,1,2,0,1,"""@reachtheeclimax: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
225,3,0,3,0,1,"""@renegademo: fat hoes get chose"" lol"
226,3,0,3,0,1,"""@riahsm: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
227,3,0,3,0,1,"""@rishaawilliams: @treshon_scrooge @_nevertrustt ol bitch ass"" http://t.co/amcoiny0wg"
228,3,1,2,0,1,"""@rnadjorell: bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad"" lmaooo"
229,3,0,3,0,1,"""@sactownprodigy: just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls"" lol bitch fuck you"
230,3,0,3,0,1,"""@samjlayman : holy shit, freddie highmore was in charlie and the chocolate factory""
me: *rolls on the floor, laughing*"
231,3,1,2,0,1,"""@samirahusic_: ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot"
232,3,0,3,0,1,"""@sexualgxfs: @ one of your followers with this &#128525;&#128553; http://t.co/f1tjl9xnct"" @ somebody, bitch if you don't"
233,3,0,3,0,1,"""@shaa_jenkins: if ya bitch always bitching clearly she care!"" or just an annoying bitch!"
234,3,0,3,0,1,"""@shantaughther: these catfish hoes thinkin they slick.. but niggas catching on &#128524;"""
235,3,0,3,0,1,"""@shewenttojordan: can't worry about a bitch that ain't worried bout me"" #real"
236,3,0,3,0,1,"""@showarrive: side hoes are for insecure niggas that can't handle a real one."""
237,3,0,3,0,1,"""@shun_stokes: &#128514;&#128514;&#128514;&#128514;rt @bluprint_4: lmao! this bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
238,3,0,3,0,1,"""@shun_stokes: my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers &#128514;"""
239,3,0,3,0,1,"""@slimgirl_probz: i'm hungry but ionn wanna spend my money on food&#128530;""broke hoe problems &#128514;&#128514;&#128514;&#128128;"
240,6,0,6,0,1,"""@smeegbaby: dese hoes be lyin to all of us nigga"""
241,3,0,3,0,1,"""@snakecharmsdump: http://t.co/4b427dqzcv"" oh yeah fuck that bitch"
242,3,0,1,2,2,"""@sportscenter: eli manning just threw his nfl-leading 27th interception of the season."" lmao trash"
243,3,0,1,2,2,"""@sportscenter: usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. &#187; http://t.co/joosdsubir"" he's a bitch"
244,3,0,3,0,1,"""@stellatex: guess what? i also have zero time for your mansplaining! adios!"" stfu pussy"
245,3,0,1,2,2,"""@stephenwildboy: chilling &#128069;&#8482; http://t.co/mik3ipnle6"" sexy scally lad"
